epoch,loss,avg_dice,avg_precision,avg_recall,avg_accuracy,Tumor Core (TC)_dice,Tumor Core (TC)_precision,Tumor Core (TC)_recall,Tumor Core (TC)_accuracy,Whole Tumor (WT)_dice,Whole Tumor (WT)_precision,Whole Tumor (WT)_recall,Whole Tumor (WT)_accuracy,Enhancing Tumor (ET)_dice,Enhancing Tumor (ET)_precision,Enhancing Tumor (ET)_recall,Enhancing Tumor (ET)_accuracy,epoch_time_sec
61,0.266034,0.862696,0.835062,0.910953,0.997013,0.908054,0.902628,0.918805,0.999499,0.918766,0.914324,0.924714,0.998948,0.761270,0.688233,0.889341,0.992592,153.07
62,0.264855,0.868254,0.840176,0.912305,0.999291,0.905019,0.898602,0.918049,0.999487,0.919845,0.916770,0.924422,0.998951,0.779897,0.705155,0.894442,0.999436,148.26
63,0.263477,0.864961,0.839059,0.907379,0.997017,0.909236,0.905580,0.915299,0.999500,0.919463,0.915669,0.924637,0.998950,0.766182,0.695929,0.882200,0.992600,153.80
64,0.261242,0.860987,0.833185,0.906947,0.992459,0.905133,0.899085,0.916129,0.999510,0.918319,0.915155,0.923174,0.998973,0.759509,0.685315,0.881538,0.978894,154.40
65,0.260472,0.863454,0.834851,0.913213,0.999302,0.907422,0.900769,0.917733,0.999501,0.918505,0.914122,0.924629,0.998961,0.764436,0.689663,0.897275,0.999445,152.26
66,0.257648,0.865395,0.839112,0.911613,0.997026,0.908182,0.902747,0.919255,0.999511,0.920298,0.917222,0.924657,0.998972,0.767704,0.697368,0.890928,0.992596,151.63
67,0.257916,0.869250,0.842881,0.911012,0.997017,0.912342,0.907663,0.919995,0.999509,0.919086,0.917270,0.922696,0.998954,0.776323,0.703711,0.890346,0.992588,154.27
68,0.256418,0.866737,0.839557,0.913061,0.999312,0.908454,0.901871,0.919487,0.999517,0.919235,0.915804,0.924475,0.998966,0.772522,0.700996,0.895222,0.999453,153.92
69,0.258227,0.868717,0.841437,0.911662,0.997033,0.912086,0.906752,0.919306,0.999516,0.919404,0.914914,0.925352,0.998972,0.774660,0.702645,0.890328,0.992611,155.11
70,0.256777,0.869441,0.842983,0.912305,0.997035,0.909952,0.906115,0.916718,0.999514,0.920102,0.916336,0.925226,0.998985,0.778270,0.706498,0.894971,0.992607,149.80
